date,city,measure,value,dow,season
1/1/87,balt,death,24,Thursday,Winter
1/2/87,balt,death,24,Friday,Winter
1/3/87,balt,death,20,Saturday,Winter
1/4/87,balt,death,26,Sunday,Winter
1/5/87,balt,death,23,Monday,Winter
1/6/87,balt,death,23,Tuesday,Winter
1/7/87,balt,death,21,Wednesday,Winter
1/8/87,balt,death,28,Thursday,Winter
1/9/87,balt,death,20,Friday,Winter
1/10/87,balt,death,26,Saturday,Winter
1/11/87,balt,death,25,Sunday,Winter
1/12/87,balt,death,17,Monday,Winter
1/13/87,balt,death,22,Tuesday,Winter
1/14/87,balt,death,22,Wednesday,Winter
1/15/87,balt,death,20,Thursday,Winter
1/16/87,balt,death,20,Friday,Winter
1/17/87,balt,death,23,Saturday,Winter
1/18/87,balt,death,25,Sunday,Winter
1/19/87,balt,death,12,Monday,Winter
1/20/87,balt,death,23,Tuesday,Winter
1/21/87,balt,death,23,Wednesday,Winter
1/22/87,balt,death,31,Thursday,Winter
1/23/87,balt,death,17,Friday,Winter
1/24/87,balt,death,26,Saturday,Winter
1/25/87,balt,death,20,Sunday,Winter
1/26/87,balt,death,24,Monday,Winter
1/27/87,balt,death,26,Tuesday,Winter
1/28/87,balt,death,23,Wednesday,Winter
1/29/87,balt,death,26,Thursday,Winter
1/30/87,balt,death,29,Friday,Winter
1/31/87,balt,death,18,Saturday,Winter
1/1/87,balt,pm10,-13.12751678,Thursday,Winter
1/2/87,balt,pm10,NA,Friday,Winter
1/3/87,balt,pm10,-28.12751678,Saturday,Winter
1/4/87,balt,pm10,NA,Sunday,Winter
1/5/87,balt,pm10,NA,Monday,Winter
1/6/87,balt,pm10,NA,Tuesday,Winter
1/7/87,balt,pm10,14.87248322,Wednesday,Winter
1/8/87,balt,pm10,NA,Thursday,Winter
1/9/87,balt,pm10,-8.304347826,Friday,Winter
1/10/87,balt,pm10,NA,Saturday,Winter
1/11/87,balt,pm10,-12.12751678,Sunday,Winter
1/12/87,balt,pm10,NA,Monday,Winter
1/13/87,balt,pm10,-14.12751678,Tuesday,Winter
1/14/87,balt,pm10,NA,Wednesday,Winter
1/15/87,balt,pm10,-4.5,Thursday,Winter
1/16/87,balt,pm10,NA,Friday,Winter
1/17/87,balt,pm10,-20.12751678,Saturday,Winter
1/18/87,balt,pm10,NA,Sunday,Winter
1/19/87,balt,pm10,-16.12751678,Monday,Winter
1/20/87,balt,pm10,NA,Tuesday,Winter
1/21/87,balt,pm10,-8.902173913,Wednesday,Winter
1/22/87,balt,pm10,NA,Thursday,Winter
1/23/87,balt,pm10,NA,Friday,Winter
1/24/87,balt,pm10,NA,Saturday,Winter
1/25/87,balt,pm10,NA,Sunday,Winter
1/26/87,balt,pm10,NA,Monday,Winter
1/27/87,balt,pm10,NA,Tuesday,Winter
1/28/87,balt,pm10,NA,Wednesday,Winter
1/29/87,balt,pm10,8.872483222,Thursday,Winter
1/30/87,balt,pm10,NA,Friday,Winter
1/31/87,balt,pm10,-31.12751678,Saturday,Winter
1/1/87,balt,tempF,33.5,Thursday,Winter
1/2/87,balt,tempF,37,Friday,Winter
1/3/87,balt,tempF,36,Saturday,Winter
1/4/87,balt,tempF,32,Sunday,Winter
1/5/87,balt,tempF,33.5,Monday,Winter
1/6/87,balt,tempF,32.5,Tuesday,Winter
1/7/87,balt,tempF,42.5,Wednesday,Winter
1/8/87,balt,tempF,36,Thursday,Winter
1/9/87,balt,tempF,38,Friday,Winter
1/10/87,balt,tempF,37.5,Saturday,Winter
1/11/87,balt,tempF,37.5,Sunday,Winter
1/12/87,balt,tempF,37,Monday,Winter
1/13/87,balt,tempF,40,Tuesday,Winter
1/14/87,balt,tempF,42.5,Wednesday,Winter
1/15/87,balt,tempF,54,Thursday,Winter
1/16/87,balt,tempF,45,Friday,Winter
1/17/87,balt,tempF,31,Saturday,Winter
1/18/87,balt,tempF,33,Sunday,Winter
1/19/87,balt,tempF,35.5,Monday,Winter
1/20/87,balt,tempF,37,Tuesday,Winter
1/21/87,balt,tempF,36,Wednesday,Winter
1/22/87,balt,tempF,29,Thursday,Winter
1/23/87,balt,tempF,21.5,Friday,Winter
1/24/87,balt,tempF,14,Saturday,Winter
1/25/87,balt,tempF,10.5,Sunday,Winter
1/26/87,balt,tempF,21.5,Monday,Winter
1/27/87,balt,tempF,15.5,Tuesday,Winter
1/28/87,balt,tempF,15,Wednesday,Winter
1/29/87,balt,tempF,28.5,Thursday,Winter
1/30/87,balt,tempF,33,Friday,Winter
1/31/87,balt,tempF,35.5,Saturday,Winter